***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "11-04-18-05-09-2021"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
39859.5179;(-23.1852, 1.0250, 0.0023);87.5000;2.8000;59.9844;;
39859.5349;(-23.1852, 1.0250, 0.0023);87.5000;2.8000;60.0814;;
39859.5679;(-23.1852, 1.0250, 0.0023);87.5000;2.8000;60.0891;;
39859.5838;(-23.1852, 1.0250, 0.0023);87.5000;2.8000;60.0457;;
39859.6009;(-23.1852, 1.0250, 0.0023);87.5000;2.8000;60.0903;;
39859.6179;(-23.1853, 1.0250, 0.0023);87.5000;2.8000;60.0641;;
39859.6339;(-23.1853, 1.0250, 0.0023);87.5000;2.8000;60.1123;;
39859.6679;(-23.1853, 1.0250, 0.0023);87.5000;2.8000;60.0805;;
39859.6849;(-23.1853, 1.0250, 0.0023);87.5000;2.8000;60.0281;;
39859.7019;(-23.1853, 1.0250, 0.0023);87.5000;2.9000;59.8652;;
39859.7179;(-23.1853, 1.0250, 0.0023);87.6000;2.9000;59.8073;;
39859.7349;(-23.1853, 1.0250, 0.0023);87.6000;2.9000;60.0688;;
39859.7679;(-23.1853, 1.0250, 0.0023);87.6000;2.9000;60.0337;;
39859.7839;(-23.1853, 1.0250, 0.0023);87.6000;2.9000;60.0145;;
39859.8009;(-23.1853, 1.0250, 0.0023);87.6000;2.9000;60.0447;;
39859.8179;(-23.1854, 1.0250, 0.0023);87.6000;2.9000;60.0166;;
39859.8339;(-23.1854, 1.0250, 0.0023);87.6000;2.9000;60.0409;;
39859.8671;(-23.1854, 1.0250, 0.0023);87.6000;2.9000;60.0491;;
39859.8841;(-23.1854, 1.0250, 0.0023);87.6000;2.9000;60.0204;;
39859.9011;(-23.1854, 1.0250, 0.0023);87.6000;2.9000;60.0618;;
39859.9171;(-23.1854, 1.0250, 0.0023);87.6000;2.9000;60.0210;;
39859.9341;(-23.1854, 1.0250, 0.0023);87.6000;2.9000;60.0632;;
